사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%),사례수 (명),전용 앱 구매 (%),쇼핑몰 홈페이지/카페 등 인터넷 접속을 통한 온라인구매 (%)
53.8,97.0,3.0,149.1,87.2,12.8,39.0,72.9,27.1,25.7,37.7,62.3,80.6,95.4,4.6,146.2,96.6,3.4,19.4,43.1,56.9,36.2,89.9,10.1
38.2,93.7,6.3,165.6,62.7,37.3,29.2,60.1,39.9,39.5,97.9,2.1,30.2,76.1,23.9,164.5,87.9,12.1,32.8,50.5,49.5,50.3,88.3,11.7
20.1,88.1,11.9,145.2,42.0,58.0,11.6,82.1,17.9,6.9,40.0,60.0,19.7,100.0,0.0,150.9,58.1,41.9,15.7,79.7,20.3,5.9,63.0,37.0
11.8,77.3,22.7,68.8,85.5,14.5,7.4,74.8,25.2,30.9,99.4,0.6,4.9,90.1,9.9,72.1,86.6,13.4,17.3,4.5,95.5,27.4,99.7,0.3
592.7,79.3,20.7,"1,711.5",67.5,32.5,353.1,62.2,37.8,386.2,85.6,14.4,523.2,77.0,23.0,"1,716.0",74.4,25.6,373.9,59.0,41.0,457.6,92.3,7.7
26.6,56.6,43.4,143.0,69.4,30.6,21.5,44.2,55.8,53.1,80.5,19.5,30.7,79.5,20.5,138.4,72.1,27.9,20.9,72.2,27.8,37.7,62.6,37.4
46.5,54.8,45.2,173.0,26.4,73.6,20.1,21.5,78.5,19.2,15.8,84.2,19.3,85.3,14.7,175.8,55.1,44.9,10.9,59.2,40.8,9.6,94.7,5.3
22.8,69.1,30.9,211.8,43.2,56.8,18.1,48.0,52.0,23.1,67.0,33.0,26.6,100.0,0.0,223.9,68.5,31.5,12.9,91.1,8.9,35.0,99.5,0.5
43.0,62.0,38.0,161.7,82.7,17.3,22.6,79.5,20.5,25.4,85.0,15.0,41.2,82.1,17.9,171.1,83.0,17.0,11.7,54.1,45.9,21.5,97.8,2.2
30.8,65.3,34.7,148.7,81.8,18.2,49.8,46.0,54.0,29.6,83.3,16.7,44.1,82.5,17.5,139.5,88.5,11.5,36.1,26.0,74.0,35.6,97.6,2.4
92.7,70.9,29.1,237.4,57.1,42.9,39.4,80.4,19.6,53.6,65.8,34.2,61.6,75.0,25.0,236.0,65.8,34.2,37.3,65.9,34.1,56.2,75.1,24.9
38.7,86.4,13.6,270.0,87.5,12.5,14.6,100.0,0.0,30.6,98.0,2.0,40.7,94.6,5.4,305.5,91.7,8.3,27.4,76.4,23.6,30.4,95.6,4.4
12.9,76.6,23.4,68.8,64.9,35.1,9.7,28.2,71.8,19.4,81.8,18.2,5.4,61.4,38.6,61.1,61.8,38.2,15.0,22.8,77.2,10.3,90.0,10.0
"1,775.2",77.3,22.7,"5,646.6",69.0,31.0,"1,054.9",66.1,33.9,"1,165.4",81.8,18.2,"1,592.6",82.9,17.1,"5,714.8",73.6,26.4,"1,092.3",58.1,41.9,"1,369.5",91.4,8.6
